visit_date,hits,visitors,mean,anomalyClass
2018-05-02,133,37,3.5945945945945947,0
2018-05-03,151,35,4.314285714285714,0
2018-05-04,112,22,5.090909090909091,0
2018-05-05,143,26,5.5,0
2018-05-06,196,32,6.125,0
2018-05-07,143,31,4.612903225806452,0
2018-05-08,180,40,4.5,0
2018-05-09,205,32,6.40625,0
2018-05-10,723,29,24.93103448275862,1
2018-05-11,152,37,4.108108108108108,0
2018-05-12,113,21,5.380952380952381,0
2018-05-13,485,48,10.104166666666666,1
2018-05-14,130,28,4.642857142857143,0
2018-05-15,171,35,4.885714285714286,0
2018-05-16,100,32,3.125,0
2018-05-17,172,32,5.375,0
2018-05-18,213,28,7.607142857142857,0
2018-05-19,106,18,5.888888888888889,0
2018-05-20,203,24,8.458333333333334,0
2018-05-21,96,32,3.0,0
2018-05-22,181,38,4.7631578947368425,0
2018-05-23,166,37,4.486486486486487,0
2018-05-24,140,36,3.888888888888889,0
2018-05-25,117,29,4.0344827586206895,0
2018-05-26,139,26,5.346153846153846,0
2018-05-27,242,42,5.761904761904762,0
2018-05-28,111,26,4.269230769230769,0
2018-05-29,160,39,4.102564102564102,0
2018-05-30,141,28,5.035714285714286,0
2018-05-31,136,30,4.533333333333333,0
2018-06-01,151,42,3.5952380952380953,0
2018-06-02,143,25,5.72,0
2018-06-03,243,30,8.1,0
2018-06-04,205,52,3.9423076923076925,0
2018-06-05,186,45,4.133333333333334,0
2018-06-06,158,40,3.95,0
2018-06-07,139,35,3.9714285714285715,0
2018-06-08,159,16,9.9375,0
2018-06-09,144,28,5.142857142857143,0
2018-06-10,239,38,6.2894736842105265,0
2018-06-11,130,35,3.7142857142857144,0
2018-06-12,148,29,5.103448275862069,0
2018-06-13,157,35,4.485714285714286,0
2018-06-14,83,27,3.074074074074074,0
2018-06-15,130,32,4.0625,0
2018-06-16,123,29,4.241379310344827,0
2018-06-17,258,35,7.371428571428571,0
2018-06-18,170,39,4.358974358974359,0
2018-06-19,145,39,3.717948717948718,0
2018-06-20,157,40,3.925,0
2018-06-21,142,37,3.8378378378378377,0
2018-06-22,767,25,30.68,1
2018-06-23,113,27,4.185185185185185,0
2018-06-24,223,36,6.194444444444445,0
2018-06-25,228,41,5.560975609756097,0
2018-06-26,169,33,5.121212121212121,0
2018-06-27,166,31,5.354838709677419,0
2018-06-28,119,39,3.051282051282051,0
2018-06-29,114,24,4.75,0
2018-06-30,133,32,4.15625,0
2018-07-01,192,17,11.294117647058824,0
2018-07-02,162,36,4.5,0
2018-07-03,114,33,3.4545454545454546,0
2018-07-04,302,37,8.162162162162161,0
2018-07-05,170,50,3.4,0
2018-07-06,1,1,1.0,1
2018-07-07,0,0,0.0,1
2018-07-08,0,0,0.0,1
2018-07-09,0,0,0.0,1
2018-07-10,7,7,1.0,1
2018-07-11,40,39,1.0256410256410255,1
2018-07-12,96,51,1.8823529411764706,1
2018-07-13,116,33,3.515151515151515,1
2018-07-14,176,44,4.0,1
2018-07-15,252,27,9.333333333333334,1
2018-07-16,72,29,2.4827586206896552,1
2018-07-17,38,37,1.027027027027027,1
2018-07-18,57,40,1.425,1
2018-07-19,69,27,2.5555555555555554,1
2018-07-20,60,55,1.0909090909090908,1
2018-07-21,42,40,1.05,1
2018-07-22,38,37,1.027027027027027,1
2018-07-23,54,51,1.0588235294117647,1
2018-07-24,39,36,1.0833333333333333,1
2018-07-25,53,50,1.06,1
2018-07-26,28,27,1.037037037037037,1
2018-07-27,86,39,2.2051282051282053,1
2018-07-28,67,26,2.576923076923077,1
2018-07-29,90,49,1.836734693877551,1
2018-07-30,67,25,2.68,1
2018-07-31,37,34,1.088235294117647,1
2018-08-01,94,48,1.9583333333333333,1
2018-08-02,40,38,1.0526315789473684,1
2018-08-03,40,37,1.0810810810810811,1
2018-08-04,78,30,2.6,1
2018-08-05,156,27,5.777777777777778,1
2018-08-06,138,48,2.875,1
2018-08-07,93,43,2.1627906976744184,1
2018-08-08,49,40,1.225,1
2018-08-09,49,29,1.6896551724137931,1
2018-08-10,45,33,1.3636363636363635,1
2018-08-11,133,34,3.911764705882353,1
2018-08-12,40,37,1.0810810810810811,1
2018-08-13,307,41,7.487804878048781,1
2018-08-14,40,32,1.25,1
2018-08-15,34,33,1.0303030303030303,1
2018-08-16,77,33,2.3333333333333335,1
2018-08-17,36,35,1.0285714285714285,1
2018-08-18,82,38,2.1578947368421053,1
2018-08-19,87,38,2.289473684210526,1
2018-08-20,263,37,7.108108108108108,1
2018-08-21,42,32,1.3125,1
2018-08-22,74,31,2.3870967741935485,1
2018-08-23,82,33,2.484848484848485,1
2018-08-24,111,31,3.5806451612903225,1
2018-08-25,42,37,1.135135135135135,1
2018-08-26,86,37,2.324324324324324,1
2018-08-27,85,36,2.361111111111111,1
2018-08-28,83,37,2.2432432432432434,1
2018-08-29,89,42,2.119047619047619,1
2018-08-30,39,36,1.0833333333333333,1
2018-08-31,69,43,1.6046511627906976,1
2018-09-01,73,31,2.3548387096774195,1
2018-09-02,29,26,1.1153846153846154,1
2018-09-03,42,34,1.2352941176470589,1
2018-09-04,27,26,1.0384615384615385,1
2018-09-05,124,38,3.263157894736842,1
2018-09-06,35,34,1.0294117647058822,1
2018-09-07,86,35,2.4571428571428573,1
2018-09-08,129,33,3.909090909090909,1
2018-09-09,136,47,2.893617021276596,1
2018-09-10,78,32,2.4375,1
2018-09-11,96,41,2.341463414634146,1
2018-09-12,156,15,10.4,0
2018-09-13,119,28,4.25,0
2018-09-14,722,28,25.785714285714285,1
2018-09-15,90,23,3.9130434782608696,0
2018-09-16,228,32,7.125,0
2018-09-17,125,27,4.62962962962963,0
2018-09-18,201,41,4.902439024390244,0
2018-09-19,435,52,8.365384615384615,1
2018-09-20,193,51,3.784313725490196,0
2018-09-21,155,29,5.344827586206897,0
2018-09-22,154,42,3.6666666666666665,0
2018-09-23,264,40,6.6,0
2018-09-24,179,44,4.068181818181818,0
